hosptals,2020_resp_total number of testes patients,2020_resp_number of patients_E. coli,2020_resp_isolation rate_E. coli,2020_resp_number of patients_K. pneumoniae,2020_resp_isolation rate_K. pneumoniae,2020_resp_number of patients_3GCRKP,2020_resp_isolation rate_3GCRKP,2020_resp_number of patients_3GCREC,2020_resp_isolation rate_3GCREC,2020_urine_total number of tested patients,2020_urine_number of patients_E. coli,2020_urine_isolation rate_E. coli,2020_urine_number of patients_K. pneumoniae,2020_urine_isolation rate_K. pneumoniae,2020_urine_number of patients_3GCRKP,2020_urine_isolation rate_3GCRKP,2020_urine_number of patients_3GCREC,2020_urine_isolation rate_3GCREC,2020_blood_total number of tested patients,2020_blood_number of patients_E. coli,2020_blood_isolation rate_E. coli,2020_blood_number of patients_K. pneumoniae,2020_blood_isolation rate_K. pneumoniae,2020_blood_number of patients_3GCRKP,2020_blood_isolation rate_3GCRKP,2020_blood_number of patients_3GCREC,2020_blood_isolation rate_3GCREC,2020_stool_total number of tested patients,2020_stool_number of patients_E. coli,2020_stool_isolation rate_E. coli,2020_stool_number of patients_K. pneumoniae,2020_stool_isolation rate_K. pneumoniae,2020_stool_number of patients_3GCRKP,2020_stool_isolation rate_3GCRKP,2020_stool_number of patients_3GCREC,2020_stool_isolation rate_3GCREC
96,141,4,0.0284,12,0.0851,1,0.0071,2,0.0142,80,25,0.3125,6,0.075,1,0.0125,5,0.0625,104,3,0.0288,0,0,0,0,1,0.0096,26,2,0.0769,0,0,0,0,0,0
97,144,9,0.0625,21,0.1458,0,0,2,0.0139,87,25,0.2874,5,0.0575,0,0,3,0.0345,72,5,0.0694,2,0.0278,0,0,0,0,96,35,0.3646,18,0.1875,0,0,0,0
98,248,22,0.0887,34,0.1371,0,0,7,0.0282,125,28,0.224,7,0.056,0,0,7,0.056,282,5,0.0177,3,0.0106,0,0,0,0,32,0,0,1,0.0313,0,0,0,0
99,187,2,0.0107,17,0.0909,2,0.0107,2,0.0107,65,4,0.0615,4,0.0615,0,0,4,0.0615,118,0,0,3,0.0254,0,0,0,0,229,7,0.0306,0,0,0,0,3,0.0131
100,455,21,0.0462,37,0.0813,5,0.011,11,0.0242,286,64,0.2238,24,0.0839,3,0.0105,32,0.1119,513,54,0.1053,17,0.0331,1,0.0019,11,0.0214,81,0,0,0,0,0,0,0,0
101,142,1,0.007,3,0.0211,0,0,0,0,71,17,0.2394,4,0.0563,1,0.0141,5,0.0704,135,3,0.0222,0,0,0,0,1,0.0074,46,16,0.3478,12,0.2609,0,0,0,0
102,430,4,0.0093,21,0.0488,0,0,1,0.0023,163,41,0.2515,18,0.1104,3,0.0184,17,0.1043,259,11,0.0425,5,0.0193,2,0.0077,1,0.0039,1211,78,0.0644,1,0.0008,0,0,0,0
103,516,32,0.062,26,0.0504,2,0.0039,5,0.0097,408,76,0.1863,16,0.0392,2,0.0049,14,0.0343,561,18,0.0321,5,0.0089,0,0,5,0.0089,38,0,0,0,0,0,0,0,0
104,331,31,0.0937,57,0.1722,9,0.0272,9,0.0272,367,95,0.2589,17,0.0463,3,0.0082,21,0.0572,520,21,0.0404,10,0.0192,1,0.0019,5,0.0096,14,0,0,0,0,0,0,0,0
105,131,5,0.0382,7,0.0534,0,0,0,0,48,12,0.25,4,0.0833,0,0,3,0.0625,21,0,0,0,0,0,0,0,0,7,4,0.5714,2,0.2857,0,0,0,0
